SalesID,OrderID,ProductID,Quantity,Discount,OrderDate
S0000000001,CA-2016-152156,FUR-BO-10001798,2,0.0,2016-11-08
S0000000002,CA-2016-152156,FUR-CH-10000454,3,0.0,2016-11-08
S0000000003,CA-2016-138688,OFF-LA-10000240,2,0.0,2016-06-12
S0000000004,US-2015-108966,FUR-TA-10000577,5,0.45,2015-10-11
S0000000005,US-2015-108966,OFF-ST-10000760,2,0.2,2015-10-11
S0000000006,CA-2014-115812,FUR-FU-10001487,7,0.0,2014-06-09
S0000000007,CA-2014-115812,OFF-AR-10002833,4,0.0,2014-06-09
S0000000008,CA-2014-115812,TEC-PH-10002275,6,0.2,2014-06-09
S0000000009,CA-2014-115812,OFF-BI-10003910,3,0.2,2014-06-09
S0000000010,CA-2014-115812,OFF-AP-10002892,5,0.0,2014-06-09
S0000000011,CA-2014-115812,FUR-TA-10001539,9,0.2,2014-06-09
S0000000012,CA-2014-115812,TEC-PH-10002033,4,0.2,2014-06-09
S0000000013,CA-2017-114412,OFF-PA-10002365,3,0.2,2017-04-15
S0000000014,CA-2016-161389,OFF-BI-10003656,3,0.2,2016-12-05
S0000000015,US-2015-118983,OFF-AP-10002311,5,0.8,2015-11-22
S0000000016,US-2015-118983,OFF-BI-10000756,3,0.8,2015-11-22
S0000000017,CA-2014-105893,OFF-ST-10004186,6,0.0,2014-11-11
S0000000018,CA-2014-167164,OFF-ST-10000107,2,0.0,2014-05-13
S0000000019,CA-2014-143336,OFF-AR-10003056,2,0.0,2014-08-27
S0000000020,CA-2014-143336,TEC-PH-10001949,3,0.2,2014-08-27
S0000000021,CA-2014-143336,OFF-BI-10002215,4,0.2,2014-08-27
S0000000022,CA-2016-137330,OFF-AR-10000246,7,0.0,2016-12-09
S0000000023,CA-2016-137330,OFF-AP-10001492,7,0.0,2016-12-09
S0000000024,US-2017-156909,FUR-CH-10002774,2,0.3,2017-07-16
S0000000025,CA-2015-106320,FUR-TA-10000577,3,0.0,2015-09-25
S0000000026,CA-2016-121755,OFF-BI-10001634,2,0.2,2016-01-16
S0000000027,CA-2016-121755,TEC-AC-10003027,3,0.0,2016-01-16
S0000000028,US-2015-150630,FUR-BO-10004834,7,0.5,2015-09-17
S0000000029,US-2015-150630,OFF-BI-10000474,2,0.7,2015-09-17
S0000000030,US-2015-150630,FUR-FU-10004848,3,0.2,2015-09-17
S0000000031,US-2015-150630,OFF-EN-10001509,2,0.2,2015-09-17
S0000000032,US-2015-150630,OFF-AR-10004042,6,0.2,2015-09-17
