SalesID,AddressID,ShipMode,ShipDate
S0000000001,A000001,Second Class,2016-11-11
S0000000002,A000001,Second Class,2016-11-11
S0000000003,A000002,Second Class,2016-06-16
S0000000004,A000003,Standard Class,2015-10-18
S0000000005,A000003,Standard Class,2015-10-18
S0000000006,A000004,Standard Class,2014-06-14
S0000000007,A000004,Standard Class,2014-06-14
S0000000008,A000004,Standard Class,2014-06-14
S0000000009,A000004,Standard Class,2014-06-14
S0000000010,A000004,Standard Class,2014-06-14
S0000000011,A000004,Standard Class,2014-06-14
S0000000012,A000004,Standard Class,2014-06-14
S0000000013,A000005,Standard Class,2017-04-20
S0000000014,A000006,Standard Class,2016-12-10
S0000000015,A000007,Standard Class,2015-11-26
S0000000016,A000007,Standard Class,2015-11-26
S0000000017,A000008,Standard Class,2014-11-18
S0000000018,A000009,Second Class,2014-05-15
S0000000019,A000010,Second Class,2014-09-01
S0000000020,A000010,Second Class,2014-09-01
S0000000021,A000010,Second Class,2014-09-01
S0000000022,A000011,Standard Class,2016-12-13
S0000000023,A000011,Standard Class,2016-12-13
S0000000024,A000012,Second Class,2017-07-18
S0000000025,A000013,Standard Class,2015-09-30
S0000000026,A000014,Second Class,2016-01-20
S0000000027,A000014,Second Class,2016-01-20
S0000000028,A000015,Standard Class,2015-09-21
S0000000029,A000015,Standard Class,2015-09-21
S0000000030,A000015,Standard Class,2015-09-21
S0000000031,A000015,Standard Class,2015-09-21
S0000000032,A000015,Standard Class,2015-09-21
S0000000033,A000015,Standard Class,2015-09-21
S0000000034,A000015,Standard Class,2015-09-21
S0000000035,A000016,Second Class,2017-10-23
S0000000036,A000017,First Class,2016-12-10
S0000000037,A000017,First Class,2016-12-10
S0000000038,A000018,Standard Class,2015-12-31
S0000000039,A000018,Standard Class,2015-12-31
S0000000040,A000018,Standard Class,2015-12-31
S0000000041,A000018,Standard Class,2015-12-31
S0000000042,A000019,Standard Class,2017-09-15
S0000000043,A000020,Standard Class,2016-07-22
S0000000044,A000021,Standard Class,2017-09-23
S0000000045,A000022,First Class,2016-03-13
S0000000046,A000022,First Class,2016-03-13
S0000000047,A000023,Second Class,2014-10-25
S0000000048,A000024,Standard Class,2016-06-25
S0000000049,A000024,Standard Class,2016-06-25
S0000000050,A000025,Standard Class,2015-04-22
S0000000051,A000025,Standard Class,2015-04-22
S0000000052,A000025,Standard Class,2015-04-22
S0000000053,A000025,Standard Class,2015-04-22
S0000000054,A000026,Standard Class,2016-12-17
S0000000055,A000026,Standard Class,2016-12-17
S0000000056,A000027,First Class,2016-06-18
S0000000057,A000027,First Class,2016-06-18
S0000000058,A000027,First Class,2016-06-18
S0000000059,A000027,First Class,2016-06-18
S0000000060,A000027,First Class,2016-06-18
S0000000061,A000027,First Class,2016-06-18
